"project_id","publication_id","publication_date","pub_type","title","description","cpv","bkp","npk","oag","ebkp-h","ebkp-t","country","canton","city","project_type","process_type","order_type","award_criteria","qualification_criteria","submission_deadline","estimated_value","award_value","proc_office_name"
"25bdda6a-79fe-4697-b5de-225923992b39","d8eb43f4-316f-4f97-811e-71bfd5535db0","2025-11-14","award","LXS First Lounge & Spezialprozesse - BKP 250 Sanitäranlagen","KurzbeschriebZwischen dem Terminal 2 und dem Bus Gate Süd B15 am Flughafen Zürich entsteht ein neuer Verbindungsbau, der die bisherige Passerelle ersetzt. Dieser Neubau verbessert die Anbindung des Bus Gates auf Ebene G1 und bietet darüber hinaus spezielle Bereiche auf Ebene G0 für First Class und PRM-Passagiere. Für First Class Reisende wird zusätzlich im obersten Stockwerk G2 eine Turbinenbar eingerichtet, die Teil der neuen Swiss First Class Lounge ist.Der Verbindungsbau ist auf verschiedene Spezialprozesse ausgelegt, um den unterschiedlichen Anforderungen der Passagiergruppen gerecht zu werden. Dazu zählen optimierte Kontrollprozesse und überdachte Stellflächen für Limousinen und Spezialfahrzeuge.Im Rahmen dieses Projekts wird im Terminal 2 auf Geschoss G1 die Rohbaufläche für die künftige Swiss First Class Lounge, sowie den Vollausbau für den PRM-Wartebereich vorbereitet.Die technischen Anlagen für die Lounge werden überwiegend im Geschoss G3 des Terminals 2 untergebracht. Neue Anforderungen wie eine Raucherlounge erfordern zusätzliche technische Einrichtungen, die im südlichen Technikhof Platz finden. Der Neubau erhält im G2 einen eigenen Technikraum mit elektrischer Versorgung und Lüftungstechnik.Konstruktiv orientiert sich der Verbindungsbau an den benachbarten Bauten: Die tragende Struktur besteht aus Stahlträgern, die Decken aus Holoribblechen mit Überbeton. Die Gestaltung ist bewusst so gewählt, dass der Neubau optisch als integrierter Teil des Bestands wahrgenommen wird – außen wie innen. Die Fassadengestaltung lehnt sich an das Bus Gate B15 an, und auch im Innenausbau kommen Materialien der angrenzenden Gebäude zum Einsatz.Kurzbeschrieb ausgeschriebene ArbeitDiverse Bauwasserprovisorien (Kanalisation und Wasser), diverse Abbrüche und Anpassungen bestehender Sanitäranlagen im Bestand, Installation Sanitäranlagen im Neubau","code; label","","","","","","CH","ZH","Zürich Flughafen","tender","open","construction","","","","","CHF 273,089.00","Flughafen Zürich AG"
"935a6d93-a02e-420c-833e-5846ac76abab","28094653-438b-462b-bcf1-4bfe1d89a39a","2025-11-14","award","Lieferung von Spurhaltern für den Gleisbau","Beschaffungsgegenstand dieser Ausschreibung ist die Herstellung und Lieferung von Spurhaltern gemäss unseren Plänen und den Ausschreibungsunterlagen.","code; label","","","","","","CH","ZH","Zürich","tender","open","supply","","","","","CHF 212,200.30","Verkehrsbetriebe Zürich (VBZ)"
"09a0e53a-9311-49a2-be86-82a476ce4bc5","b4cf3609-65cb-4914-ab75-c120bdf4c9fe","2025-11-14","award","Betriebs- und Gestaltungskonzept (BGK) Quartiere","Um die Wohn- und Lebensqualität in den Wohnquartieren zu verbessern und die Strassenräume als nutzbare, attraktive öffentliche Räume zu gestalten, soll das Betriebs- und Gestaltungskonzept Wohnquartiere (BGK Quartiere) entsprechende Grundlagen liefern. Auf übergeordneter Ebene werden Gestaltungsprinzipien und Grundsätze in Abhängigkeit der unterschiedlichen Strassenkategorien erarbeitet, welche künftig stadtweit in den Wohnquartieren zur Anwendung kommen sollen. Im ausgewählten Gebiet Dürrenast – Neufeld werden konkrete Massnahmen für die Umsetzung erarbeitet. Die Erarbeitung des BGK wird durch einen umfassenden partizipativen Prozess begleitet.","code; label","","","","","","CH","BE","Thun","tender","open","service","","","","","CHF 335,810.50","Stadt Thun Planungsamt"
"7bb18271-cac9-43d5-b618-131824577929","e39ac391-8bcf-4999-ac19-2d81a9174c68","2025-11-14","award","Beschaffung einer Remote-Scanning (MRI/CT) Lösung","Das Universitätsspital Zürich (USZ) sucht einen Partner für eine Softwarelösung, die das so genannte Remote-Scanning ermöglicht. 
Remote-Scanning bietet einer Radiologiefachperson die Möglichkeit, zur gleichzeitigen ortsunabhängigen Steuerung von Scannern (wie MRI, CT).","code; label","","","","","","CH","","","tender","open","supply","","","","","CHF 220,050.00","Universitätsspital Zürich"
"6503438b-c054-4031-89bf-e4a6a9509bca","5224184e-09fb-47e6-992b-4b629b9a2842","2025-11-14","award","ETH Zürich, HPZ, BKP 232 Starkstrom, Ersatz GA/HLK Digitalkomponenten","Die ursprüngliche Lüftungsanlage des HPZ wurde durch die von Professor Leibundgut, Leiter des Instituts für Technologie in der Architektur an der ETH Zürich, selbst entwickelte LowEx-Technologie im Jahr 2010 ersetzt. Die LowEx-Technologie hatte das Ziel aufzuzeigen, dass auch ursprünglich schlechtisolierte Bauten ohne aufwändige Kernsanierung an heutige Ansprüche der Energieeffizienz angepasst werden können. Als Forschungsprojekt geplant, sind viele Bauteile dieser Anlage heute nicht mehr zu ersetzen.Infolgedessen können die dezentralen Lüftungsboxen an der Fassade nicht weiter betrieben werden. Das neu geplante Konzept sieht vor, dass die bestehenden HEPTA-Panels zukünftig für die Zuluft und Beheizung genutzt werden sollen, die Abluft allerdings neu über die umgebenden Korridore erfolgt. Hierfür wird ein neuer zentraler Lüftungsmonoblock in der Dachzentrale eingeplant und mit der bestehenden Wärmerückgewinnung verbunden. Die Raumheizung wird durch eine dezentrale AC-Umwälzpumpe und druckunabhängige Regelventile mit Stellantrieben ersetzt. In dieser Submission sind die Elektroinstallationarbeiten (BKP 232 Starkstrominstallationen) für diesen Auftrag enthalten.","code; label","","","","","","CH","","","tender","invitation","construction","","","","","CHF 276,196.40","ETH Zürich - Abteilung Immobilien"
"a53057ab-31e0-4e4c-b12f-eaf68e44a7e4","c646295a-9976-4b36-b617-17841883a7b6","2025-11-14","direct_award","Ersatz der Out-of-Band Management Applikation","Swissgrid betreibt an mehreren Standorten in der Schweiz IT-Infrastrukturen, grösstenteils im Raum Zürich, aber auch an den Standorten Aarau und Prilly sowie an mehreren Stützpunkten und in den Unterwerken.Für den Out-of-Band-Betrieb auf den Swissgrid IT-Infrastrukturen wird derzeit die Applikation DSView von Vertiv eingesetzt.","code; label","","","","","","","","","tender","direct","service","","","","","CHF 1,722,390.05","Swissgrid AG"
"9877854a-a0a6-425a-a384-0765194cebb7","7c719aee-d4b0-43b5-a60b-d4da254342dc","2025-11-14","revocation","Bahnersatz Prättigau-Davos und Chur-Arosa","Ersatzverkehr während Totalsperren auf der Eisenbahnlinie","","","","","","","","","","tender","open","","","","","","","Rhätische Bahn AG"
"ea0d5ded-0adc-4951-9c4c-05c009002890","05d7894b-0e32-4be3-884c-51250f71e280","2025-11-14","tender","Collège de Mont-Goulin à Prilly - Appel d'offres portant sur l'assistance à la direction de maîtrise d'ouvrage","Le marché faisant l’objet de l’appel d’offres concerne des prestations d’assistance à la Direction de Maîtrise d’Ouvrage à réaliser tout le long de l’exécution du Projet Agrandissement – Assainissement collège Mont-Goulin (ci-après la «&nbsp;DMO&nbsp;») aux côtés de la Ville de Prilly.","code; label","","","","","","CH","VD","Prilly","tender","open","service","","","2026-01-12T16:00:00+01:00","","","ASIGOS (Prodem Conseils Sàrl)"
"86dd0ae7-d5c3-42c0-b651-eb9131764529","f0abd2ab-be73-4670-9e47-ed6f0db99e41","2025-11-14","award","Concorso per la sottoscrizione di un contatto di manutenzione degli apparati di rete","Si richiede l’erogazione di un contratto di manutenzione che garantisca la sostituzione dei componenti di rete a seguito di guasti nonché la possibilità di aprire chiamate in CISCO direttamente o attraverso il partner, a seguito di malfunzionamenti degli stessi apparati.&nbsp;","code; label","","","","","","CH","TI","Manno","tender","open","service","","","","","CHF 48,575.05","SUPSI - Servizio RE&FM - Area Procurement"
"70681f3d-22c5-473e-b947-a11b29cb1d98","4c066c0c-f636-4267-abc9-f7c6279339c6","2025-11-14","tender","SKP 290 Generalplaner (SH1+SH2)","Ertüchtigung Sahlihaus 1 und Teilabbruch Sahlihaus 2, Inselspital BernGeneralplanung Ertüchtigung Sahlihaus 1 für eine Restlebensdauer von ca. 20 Jahren und Teilabbruch Sahlihaus 2 (West- und Ostflügel inkl. Pavillion). Der Kernbau Sahlihaus 2 (zentrales Treppenhaus, Nasszellen, Büros und Lager) bleibt erhalten.Am 25.09.2025 wurde die Vorankündigung publiziert, da zeitnah auf die definitiven Publikation eine obligatorische Begehung stattfindet. Die obligatorische Begehung findet am 21.11.2025 um 08:30 Uhr statt.Gesuchtes Generalplanungsteam mit folgenden Planerdisziplinen:- Architekturplanung- Baumanagement- Bauingenieurplanung / Tragwerksplanung- Ver- und Entsorgungsplanung- Heizung-Lüftung-Klima-Kälte-Sanitär (HLKKS)- Elektro/Gebäudeautomation- Bauphysik- Brandschutz- Schadstoffe- Nachhaltigkeit","code; label","","","","","","CH","BE","Bern","tender","open","service","","","2026-01-13T17:00:00+01:00","","","Insel Gruppe AG"
